Zeitstempel,Produkt_Code,SDO_ID,Windgeschwindigkeit,Qualitaet_Niveau,Qualitaet_Byte,Leistung
201901171500,F_MN003,1346,15.8,4,10,2214.8
201901171600,F_MN003,1346,17.0,4,10,2189.8
201901171700,F_MN003,1346,15.9,4,10,2143.3
201901171800,F_MN003,1346,15.8,4,10,2143.3
201901171900,F_MN003,1346,15.5,4,10,2152.6
201901172000,F_MN003,1346,13.9,4,10,2093.6
201901172100,F_MN003,1346,14.3,4,10,2161.0
201901172200,F_MN003,1346,14.6,4,10,2173.1
201901172300,F_MN003,1346,11.7,4,10,2204.9
201901180000,F_MN003,1346,10.1,4,10,2129.2
201901180100,F_MN003,1346,8.3,4,10,1970.7
201901180200,F_MN003,1346,7.2,4,10,1774.8
201901180300,F_MN003,1346,6.6,4,10,1648.0
201901180400,F_MN003,1346,8.1,4,10,1530.2
201901180500,F_MN003,1346,7.3,4,10,1419.4
201901180600,F_MN003,1346,6.0,4,10,1322.6
201901180700,F_MN003,1346,5.5,4,10,1175.9
201901180800,F_MN003,1346,6.9,4,10,1110.0
201901180900,F_MN003,1346,5.7,4,10,943.1
201901181000,F_MN003,1346,4.6,4,10,822.7
201901181100,F_MN003,1346,3.7,4,10,704.8
201901181200,F_MN003,1346,2.7,4,10,623.3
201901181300,F_MN003,1346,3.7,4,10,616.6
201901181400,F_MN003,1346,4.3,4,10,616.6
201901181500,F_MN003,1346,4.3,4,10,562.6
201901181600,F_MN003,1346,5.9,4,10,529.6
201901181700,F_MN003,1346,7.9,4,10,556.1
201901181800,F_MN003,1346,8.9,4,10,583.9
201901181900,F_MN003,1346,10.9,4,10,581.3
201901182000,F_MN003,1346,10.9,4,10,662.1
201901182100,F_MN003,1346,11.8,4,10,829.0
201901182200,F_MN003,1346,12.1,4,10,930.0
201901182300,F_MN003,1346,12.4,4,10,988.8
201901190000,F_MN003,1346,11.1,4,10,1145.9
201901190100,F_MN003,1346,10.4,4,10,1266.5
201901190200,F_MN003,1346,10.0,4,10,1350.2
201901190300,F_MN003,1346,9.5,4,10,1454.7
201901190400,F_MN003,1346,8.7,4,10,1550.5
201901190500,F_MN003,1346,5.5,4,10,1506.3
201901190600,F_MN003,1346,4.5,4,10,1424.2
201901190700,F_MN003,1346,4.2,4,10,1390.1
201901190800,F_MN003,1346,2.8,4,10,1253.1
201901190900,F_MN003,1346,2.5,4,10,1057.3
201901191000,F_MN003,1346,4.2,4,10,886.5
201901191100,F_MN003,1346,5.0,4,10,773.3
201901191200,F_MN003,1346,4.9,4,10,628.6
201901191300,F_MN003,1346,5.0,4,10,488.1
201901191400,F_MN003,1346,5.5,4,10,444.2
201901191500,F_MN003,1346,5.7,4,10,324.7
201901191600,F_MN003,1346,6.3,4,10,208.7
201901191700,F_MN003,1346,7.1,4,10,227.7
201901191800,F_MN003,1346,7.8,4,10,198.0
201901191900,F_MN003,1346,8.4,4,10,293.2
201901192000,F_MN003,1346,9.3,4,10,412.4
201901192100,F_MN003,1346,10.7,4,10,576.0
201901192200,F_MN003,1346,9.5,4,10,690.9
201901192300,F_MN003,1346,9.4,4,10,854.6
201901200000,F_MN003,1346,10.3,4,10,919.6
201901200100,F_MN003,1346,10.1,4,10,945.0
201901200200,F_MN003,1346,8.4,4,10,987.2
201901200300,F_MN003,1346,9.3,4,10,1084.9
201901200400,F_MN003,1346,11.0,4,10,1228.5
201901200500,F_MN003,1346,10.4,4,10,1287.5
201901200600,F_MN003,1346,9.3,4,10,1354.1
201901200700,F_MN003,1346,9.4,4,10,1357.0
201901200800,F_MN003,1346,9.2,4,10,1313.5
201901200900,F_MN003,1346,8.8,4,10,1335.0
201901201000,F_MN003,1346,8.8,4,10,1259.0
201901201100,F_MN003,1346,7.9,4,10,1099.9
201901201200,F_MN003,1346,7.2,4,10,983.8
201901201300,F_MN003,1346,5.9,4,10,983.6
201901201400,F_MN003,1346,5.4,4,10,901.7
201901201500,F_MN003,1346,4.6,4,10,804.0
201901201600,F_MN003,1346,3.0,4,10,660.4
201901201700,F_MN003,1346,2.6,4,10,561.6
201901201800,F_MN003,1346,3.0,4,10,555.9
201901201900,F_MN003,1346,3.0,4,10,490.0
201901202000,F_MN003,1346,1.8,4,10,469.3
201901202100,F_MN003,1346,1.2,4,10,284.2
201901202200,F_MN003,1346,1.4,4,10,286.7
201901202300,F_MN003,1346,1.3,4,10,279.2
201901210000,F_MN003,1346,0.9,4,10,311.4
201901210100,F_MN003,1346,1.9,4,10,318.3
201901210200,F_MN003,1346,1.7,4,10,318.3
201901210300,F_MN003,1346,1.2,4,10,318.3
201901210400,F_MN003,1346,1.7,4,10,354.2
201901210500,F_MN003,1346,0.8,4,10,354.2
201901210600,F_MN003,1346,2.4,4,10,341.5
201901210700,F_MN003,1346,2.1,4,10,319.7
201901210800,F_MN003,1346,2.2,4,10,264.8
201901210900,F_MN003,1346,2.4,4,10,274.0
201901211000,F_MN003,1346,1.6,4,10,226.9
201901211100,F_MN003,1346,1.4,4,10,206.3
201901211200,F_MN003,1346,1.0,4,10,220.0
201901211300,F_MN003,1346,1.0,4,10,231.2
201901211400,F_MN003,1346,1.6,4,10,343.5
201901211500,F_MN003,1346,2.0,4,10,343.5
201901211600,F_MN003,1346,1.6,4,10,307.6
201901211700,F_MN003,1346,2.2,4,10,307.6
201901211800,F_MN003,1346,3.4,4,10,244.5
201901211900,F_MN003,1346,3.2,4,10,222.3
201901212000,F_MN003,1346,3.7,4,10,244.5
201901212100,F_MN003,1346,4.0,4,10,241.8
201901212200,F_MN003,1346,4.5,4,10,298.8
201901212300,F_MN003,1346,4.4,4,10,299.6
201901220000,F_MN003,1346,4.5,4,10,253.8
201901220100,F_MN003,1346,3.9,4,10,199.7
201901220200,F_MN003,1346,4.6,4,10,87.4
201901220300,F_MN003,1346,5.6,4,10,87.4
201901220400,F_MN003,1346,5.8,4,10,87.4
201901220500,F_MN003,1346,6.3,4,10,172.6
201901220600,F_MN003,1346,5.7,4,10,232.9
201901220700,F_MN003,1346,5.8,4,10,313.6
201901220800,F_MN003,1346,5.3,4,10,291.4
201901220900,F_MN003,1346,4.5,4,10,284.9
201901221000,F_MN003,1346,4.0,4,10,227.9
201901221100,F_MN003,1346,4.7,4,10,247.3
